cancer_type	gene_name	sv_expected	complex_sv_expected	driver_gene	remarks
embryonal_rhabdomyosarcoma	PAX3	T	F	F	fusion positive https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462130/
embryonal_rhabdomyosarcoma	FOXO1	T	F	F	fusion positive https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462130/
neuroblastoma	NRAS	F	F	F	ras pw  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/ 
neuroblastoma	KRAS	F	F	F	ras pw  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	HRAS	F	F	F	ras pw  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	FGFR1	F	F	F	ras pw  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	NF1	F	F	F	ras pw  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	PTPN11	F	F	F	high risk also ras pw https://www.nature.com/articles/ng.2529 and https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3682833/
neuroblastoma	MDM2	T	F	F	tp53 pw https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	TP53	F	F	F	tp53 pw https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	CDK4	T	F	F	ras pw https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
neuroblastoma	CDKN2A	T	F	F	tp53 pw https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7875194/
nephroblastoma	TERT	F	F	F	https://pubmed.ncbi.nlm.nih.gov/30705419/
nephroblastoma	KRAS	F	F	F	https://pubmed.ncbi.nlm.nih.gov/30705419/
nephroblastoma	TP53	F	F	F	https://pubmed.ncbi.nlm.nih.gov/30705419/
neuroblastoma	PPM1D	F	F	F	reported and paper https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8657050/
